# x y
0 1
0.01 1
0.02 1
0.03 0.945
0.04 0.885
0.05 0.825
0.06 0.765
0.07 0.705
0.08 0.645
0.09 0.585
0.1 0.525
0.11 0.465
0.12 0.405
0.13 0.345
0.14 0.285
0.15 0.225
0.16 0.1779
0.17 0.1779
0.18 0.1779
0.19 0.1779
0.2 0.1779
0.21 0.1779
0.22 0.1779
0.23 0.1779
0.24 0.1779
0.25 0.1779
0.26 0.1779
0.27 0.1779
0.28 0.1779
0.29 0.1779
0.3 0.1779
0.31 0.1779
0.32 0.1779
0.33 0.1779
0.34 0.1779
0.35 0.225
0.36 0.2849
0.37 0.3449
0.38 0.4049
0.39 0.4649
0.4 0.5249
0.41 0.5849
0.42 0.6
0.43 0.6
0.44 0.6
0.45 0.6
0.46 0.6
0.47 0.6
0.48 0.6
0.49 0.6
0.5 0.6
0.51 0.6
0.52 0.6
0.53 0.6
0.54 0.6
0.55 0.6
0.56 0.6
0.57 0.6
0.58 0.6
0.59 0.5849
0.6 0.5249
0.61 0.4649
0.62 0.4049
0.63 0.4049
0.64 0.4649
0.65 0.5249
0.66 0.5849
0.67 0.6449
0.68 0.7049
0.69 0.7333
0.7 0.7333
0.71 0.7333
0.72 0.7333
0.73 0.7333
0.74 0.7333
0.75 0.7333
0.76 0.7333
0.77 0.7333
0.78 0.7333
0.79 0.7333
0.8 0.7333
0.81 0.7333
0.82 0.7049
0.83 0.6449
0.84 0.5849
0.85 0.5249
0.86 0.4649
0.87 0.4049
0.88 0.3449
0.89 0.3021
0.9 0.3021
0.91 0.3021
0.92 0.3021
0.93 0.3021
0.94 0.3021
0.95 0.3021
0.96 0.3021
0.97 0.3021
0.98 0.3021
0.99 0.3021
1 0.3021
